sim	reg_pct
1	19.93
2	25.06
3	27.51
4	20.56
5	15.92
6	22.68
7	16.35
8	19.96
9	21.01
10	28.33
11	20.22
12	25.10
13	32.23
14	21.69
15	7.77
16	27.64
17	25.72
18	18.23
19	21.04
20	14.34
21	25.23
22	23.73
23	14.73
24	20.85
25	22.12
26	20.66
27	19.23
28	16.15
29	25.29
30	34.86
31	27.62
32	32.63
33	12.48
34	32.89
35	16.43
36	18.28
37	23.64
38	24.06
39	19.45
40	27.05
41	15.90
42	29.32
43	25.85
44	22.32
45	15.91
46	16.46
47	21.70
48	18.12
49	24.07
50	28.41
51	23.64
52	16.94
53	25.61
54	13.25
55	25.65
56	29.22
57	27.25
58	33.97
59	25.03
60	46.59
61	23.35
62	39.58
63	13.24
64	28.47
65	21.49
66	14.15
67	23.31
68	23.41
69	26.72
70	32.39
71	20.80
72	32.95
73	22.53
74	9.05
75	61.86
76	37.57
77	18.62
78	22.76
79	19.07
80	28.63
81	25.90
82	20.55
83	21.57
84	19.36
85	22.35
86	24.25
87	26.75
88	22.75
89	35.58
90	37.31
91	19.45
92	18.21
93	23.16
94	19.58
95	16.36
96	12.89
97	17.35
98	19.35
99	18.62
100	26.98
101	30.65
102	22.42
103	22.08
104	51.64
105	23.01
106	22.53
107	28.22
108	24.45
109	20.15
110	19.53
111	12.87
112	15.90
113	22.30
114	18.12
115	13.73
116	27.04
117	14.06
118	39.90
119	20.12
120	20.24
121	25.97
122	30.32
123	18.76
124	17.06
125	20.97
126	21.72
127	19.57
128	26.02
129	21.62
130	19.98
131	12.55
132	21.57
133	17.75
134	22.63
135	21.86
136	20.41
137	23.18
138	27.29
139	9.54
140	62.64
141	15.40
142	21.16
143	9.70
144	13.09
145	21.55
146	9.39
147	28.20
148	14.51
149	19.32
150	26.37
151	19.67
152	15.16
153	25.99
154	18.67
155	13.50
156	16.68
157	10.86
158	18.53
159	16.60
160	21.06
161	24.02
162	21.40
163	19.09
164	16.49
165	22.29
166	14.01
167	14.90
168	22.60
169	20.38
170	20.68
171	25.21
172	25.34
173	25.28
174	21.71
175	27.70
176	20.34
177	24.69
178	25.53
179	19.06
180	30.09
181	14.26
182	24.09
183	29.40
184	17.51
185	23.44
186	23.98
187	16.92
188	15.46
189	9.37
190	22.44
191	24.70
192	25.45
193	22.97
194	26.08
195	19.44
196	21.25
197	19.53
198	24.48
199	26.19
200	20.47
201	22.80
202	11.68
203	28.68
204	9.75
205	27.90
206	23.89
207	21.73
208	30.57
209	20.29
210	20.56
211	26.91
212	30.73
213	22.30
214	24.61
215	23.07
216	24.39
217	19.69
218	34.92
219	25.39
220	19.71
221	24.48
222	20.73
223	14.77
224	21.65
225	20.38
226	49.80
227	20.19
228	24.21
229	28.86
230	32.73
231	14.99
232	23.90
233	24.07
234	19.08
235	13.55
236	24.98
237	18.19
238	26.96
239	25.91
240	23.61
241	19.39
242	16.89
243	25.97
244	31.28
245	14.10
246	31.20
247	25.10
248	16.61
249	22.41
250	22.99
251	13.07
252	15.81
253	19.66
254	21.22
255	25.97
256	15.67
257	17.47
258	20.47
259	22.28
260	32.82
261	20.51
262	22.66
263	21.28
264	24.05
265	25.87
266	15.10
267	28.92
268	23.85
269	21.79
270	25.55
271	20.02
272	30.89
273	20.38
274	27.28
275	25.35
276	19.98
277	20.82
278	21.41
279	18.59
280	28.75
281	25.15
282	19.56
283	15.96
284	22.99
285	27.10
286	18.52
287	27.10
288	27.02
289	25.44
290	18.93
291	19.90
292	30.88
293	32.51
294	13.02
295	10.02
296	23.51
297	26.56
298	11.46
299	18.20
300	24.70
