sim	reg_pct
1	14.55
2	2.73
3	13.64
4	2.73
5	6.36
6	9.09
7	5.45
8	11.82
9	0.00
10	1.82
11	5.45
12	0.00
13	0.00
14	0.00
15	12.73
16	6.36
17	3.64
18	20.00
19	0.00
20	9.09
21	0.00
22	15.45
23	7.27
24	5.45
25	9.09
26	0.91
27	0.00
28	7.27
29	0.00
30	2.73
31	10.91
32	7.27
33	13.64
34	0.00
35	10.00
36	0.00
37	10.00
38	11.82
39	7.27
40	3.64
41	12.73
42	13.64
43	0.91
44	14.55
45	8.18
46	1.82
47	0.00
48	8.18
49	4.55
50	4.55
51	1.82
52	3.64
53	0.91
54	5.45
55	5.45
56	3.64
57	10.00
58	3.64
59	3.64
60	10.91
61	15.45
62	10.00
63	0.00
64	8.18
65	1.82
66	4.55
67	0.00
68	0.00
69	23.64
70	5.45
71	1.82
72	10.00
73	0.00
74	0.00
75	0.00
76	0.00
77	0.00
78	8.18
79	2.73
80	1.82
81	1.82
82	12.73
83	10.00
84	3.64
85	6.36
86	13.64
87	1.82
88	14.55
89	6.36
90	0.00
91	7.27
92	9.09
93	0.00
94	6.36
95	4.55
96	9.09
97	8.18
98	0.00
99	0.00
100	9.09
