sim	reg_pct
1	14.55
2	0.91
3	9.09
4	0.00
5	6.36
6	7.27
7	2.73
8	22.73
9	0.00
10	0.00
11	7.27
12	2.73
13	0.00
14	0.00
15	9.09
16	8.18
17	3.64
18	18.18
19	0.91
20	8.18
21	0.00
22	23.64
23	7.27
24	0.00
25	12.73
26	0.00
27	0.00
28	6.36
29	0.00
30	9.09
31	6.36
32	10.00
33	12.73
34	2.73
35	5.45
36	7.27
37	12.73
38	5.45
39	0.91
40	10.91
41	13.64
42	12.73
43	3.64
44	10.00
45	8.18
46	5.45
47	0.00
48	4.55
49	6.36
50	5.45
51	0.91
52	1.82
53	1.82
54	6.36
55	7.27
56	0.91
57	8.18
58	7.27
59	13.64
60	11.82
61	6.36
62	8.18
63	0.00
64	5.45
65	0.00
66	9.09
67	0.00
68	0.00
69	20.91
70	11.82
71	0.00
72	10.91
73	2.73
74	0.00
75	0.00
76	0.00
77	0.00
78	7.27
79	0.91
80	7.27
81	5.45
82	7.27
83	10.91
84	1.82
85	10.00
86	10.00
87	1.82
88	16.36
89	5.45
90	0.91
91	3.64
92	4.55
93	0.00
94	6.36
95	0.91
96	5.45
97	7.27
98	0.00
99	0.00
100	5.45
