sim	reg_pct
1	13.64
2	3.64
3	8.18
4	0.00
5	7.27
6	9.09
7	7.27
8	7.27
9	2.73
10	0.00
11	3.64
12	0.00
13	0.00
14	0.00
15	13.64
16	9.09
17	3.64
18	17.27
19	0.91
20	7.27
21	0.00
22	18.18
23	6.36
24	5.45
25	8.18
26	0.00
27	1.82
28	8.18
29	11.82
30	0.91
31	12.73
32	4.55
33	12.73
34	4.55
35	3.64
36	0.00
37	9.09
38	2.73
39	14.55
40	15.45
41	6.36
42	9.09
43	0.00
44	6.36
45	8.18
46	0.00
47	0.00
48	12.73
49	10.00
50	2.73
51	0.00
52	1.82
53	5.45
54	12.73
55	6.36
56	0.91
57	9.09
58	1.82
59	9.09
60	17.27
61	8.18
62	14.55
63	0.00
64	8.18
65	0.91
66	16.36
67	0.00
68	0.00
69	21.82
70	8.18
71	1.82
72	10.91
73	0.00
74	0.00
75	0.00
76	0.00
77	0.00
78	12.73
79	0.00
80	2.73
81	0.91
82	8.18
83	10.91
84	0.00
85	7.27
86	9.09
87	4.55
88	17.27
89	17.27
90	0.91
91	1.82
92	9.09
93	0.00
94	0.91
95	0.00
96	12.73
97	11.82
98	0.00
99	0.00
100	9.09
