sim	reg_pct
1	7.56
2	8.44
3	7.11
4	5.56
5	6.67
6	9.78
7	9.56
8	7.11
9	5.56
10	9.56
11	9.33
12	5.56
13	5.78
14	9.33
15	8.44
16	5.11
17	7.78
18	8.89
19	5.33
20	8.22
21	9.56
22	8.67
23	7.33
24	4.89
25	4.44
26	7.11
27	4.67
28	5.56
29	9.11
30	6.00
31	7.11
32	5.56
33	6.67
34	8.67
35	6.00
36	6.67
37	6.67
38	8.22
39	4.67
40	4.00
41	5.78
42	8.67
43	4.67
44	5.56
45	5.56
46	7.33
47	5.11
48	5.56
49	7.78
50	7.56
51	4.44
52	8.89
53	7.56
54	5.33
55	4.22
56	6.67
57	7.56
58	9.78
59	7.11
60	7.33
61	8.00
62	4.00
63	8.00
64	9.11
65	7.78
66	6.89
67	8.00
68	6.44
69	5.11
70	6.22
71	4.67
72	7.11
73	7.11
74	8.22
75	8.22
76	8.67
77	6.89
78	7.11
79	6.89
80	10.67
81	7.11
82	4.67
83	5.11
84	4.00
85	6.44
86	5.11
87	7.56
88	5.78
89	9.78
90	7.78
91	7.33
92	6.89
93	9.56
94	8.44
95	4.67
96	8.67
97	8.00
98	5.78
99	8.22
100	7.11
101	5.33
102	5.11
103	6.44
104	5.11
105	9.78
106	8.22
107	7.11
108	7.78
109	4.67
110	8.00
111	4.22
112	6.89
113	7.33
114	7.56
115	8.67
116	8.22
117	11.11
118	4.00
119	6.00
120	9.78
121	5.33
122	8.00
123	7.78
124	5.11
125	9.11
126	6.67
127	5.78
128	5.78
129	7.33
130	7.33
131	4.67
132	9.56
133	5.56
134	6.67
135	5.33
136	8.22
137	7.78
138	6.22
139	6.00
140	5.33
141	6.44
142	9.56
143	7.33
144	7.78
145	6.22
146	4.44
147	5.33
148	10.00
149	6.22
150	8.00
151	3.56
152	7.11
153	4.00
154	4.67
155	2.44
156	5.56
157	4.89
158	9.11
159	7.11
160	10.00
161	8.44
162	7.78
163	6.00
164	4.44
165	9.56
166	7.78
167	3.33
168	5.78
169	6.89
170	6.00
171	7.56
172	6.00
173	8.22
174	4.67
175	6.44
176	8.67
177	4.22
178	8.22
179	6.00
180	8.00
181	2.89
182	7.78
183	6.89
184	7.78
185	5.56
186	9.56
187	4.22
188	4.22
189	6.00
190	0.89
191	4.89
192	5.33
193	3.56
194	6.00
195	6.67
196	8.67
197	8.67
198	8.44
199	9.56
200	7.11
201	6.00
202	9.11
203	10.00
204	7.33
205	6.67
206	7.33
207	5.56
208	3.33
209	4.89
210	6.22
211	7.11
212	6.22
213	7.78
214	6.89
215	6.44
216	5.56
217	3.56
218	4.89
219	7.33
220	6.67
221	5.11
222	6.89
223	5.78
224	6.00
225	7.56
226	8.89
227	6.44
228	8.00
229	3.78
230	4.67
231	6.44
232	5.56
233	8.44
234	6.00
235	9.78
236	6.44
237	4.67
238	6.44
239	7.78
240	5.78
241	8.22
242	8.44
243	7.56
244	4.22
245	3.56
246	8.89
247	6.67
248	6.44
249	6.89
250	6.89
251	5.33
252	8.00
253	7.78
254	5.56
255	5.78
256	4.89
257	5.78
258	9.56
259	6.67
260	5.56
261	8.22
262	7.56
263	4.22
264	5.33
265	5.11
266	3.78
267	6.22
268	7.33
269	7.11
270	5.56
271	7.78
272	8.44
273	7.56
274	7.56
275	5.56
276	8.44
277	5.11
278	4.44
279	5.33
280	4.44
281	6.44
282	6.22
283	8.67
284	4.22
285	7.56
286	4.00
287	8.22
288	6.67
289	8.67
290	2.22
291	10.22
292	8.44
293	9.11
294	7.78
295	5.78
296	1.56
297	5.33
298	6.67
299	10.00
300	8.22
301	5.11
302	8.44
303	8.44
304	6.22
305	5.56
306	6.89
307	6.44
308	4.22
309	6.44
310	3.33
311	3.78
312	7.33
313	5.78
314	5.78
315	7.56
316	8.44
317	5.56
318	4.44
319	5.33
320	8.00
321	7.78
322	6.44
323	7.56
324	10.44
325	4.00
326	4.89
327	9.56
328	1.56
329	6.44
330	6.89
331	5.78
332	4.67
333	8.00
334	12.00
335	6.44
336	4.67
337	8.00
338	7.33
339	8.00
340	8.22
341	4.89
342	6.44
343	5.56
344	10.00
345	8.22
346	5.11
347	8.22
348	8.22
349	8.00
350	9.78
351	6.67
352	7.56
353	8.44
354	6.22
355	4.67
356	5.11
357	7.78
358	6.89
359	7.56
360	4.22
361	9.33
362	6.44
363	2.22
364	3.56
365	6.44
366	8.22
367	7.56
368	8.89
369	7.33
370	5.11
371	6.89
372	9.33
373	3.11
374	3.56
375	7.33
376	3.56
377	6.22
378	0.44
379	8.44
380	6.00
381	4.22
382	6.22
383	6.67
384	4.67
385	2.89
386	8.67
387	5.11
388	5.56
389	6.22
390	6.00
391	5.11
392	7.78
393	6.00
394	6.44
395	6.44
396	3.78
397	4.22
398	5.11
399	5.78
400	5.56
401	5.78
402	5.56
403	10.67
404	8.22
405	6.67
406	5.56
407	2.44
408	6.00
409	7.78
410	8.00
411	5.56
412	8.89
413	4.67
414	8.89
415	5.78
416	6.22
417	6.00
418	5.33
419	7.11
420	6.67
421	2.22
422	6.00
423	6.00
424	8.22
425	8.00
426	5.56
427	8.89
428	8.67
429	6.00
430	5.78
431	5.11
432	8.67
433	6.67
434	7.78
435	5.78
436	8.22
437	5.33
438	7.33
439	4.22
440	4.44
441	8.67
442	6.22
443	6.22
444	8.44
445	10.44
446	7.33
447	8.44
448	4.89
449	3.78
450	1.78
451	8.00
452	7.56
453	6.89
454	4.67
455	7.33
456	9.11
457	8.44
458	5.78
459	6.22
460	5.78
461	7.78
462	7.33
463	2.00
464	6.89
465	6.67
466	2.67
467	6.22
468	6.67
469	9.33
470	5.78
471	4.00
472	6.89
473	10.22
474	7.56
475	6.22
476	8.00
477	6.44
478	8.00
479	6.00
480	7.56
481	7.33
482	9.56
483	6.00
484	7.11
485	7.78
486	8.22
487	10.22
488	7.78
489	7.56
490	7.33
491	6.89
492	6.89
493	5.78
494	4.44
