sim	reg_pct
1	3.50
2	12.15
3	0.00
4	0.00
5	8.23
6	3.90
7	6.74
8	0.37
9	6.69
10	9.13
11	1.08
12	9.04
13	7.39
14	1.79
15	9.59
16	0.00
17	41.94
18	11.37
19	6.72
20	0.00
21	6.93
22	0.00
23	5.50
24	3.90
25	2.33
26	4.04
27	7.69
28	12.32
29	6.47
30	3.17
31	5.15
32	5.08
33	7.95
34	3.65
35	1.05
36	0.00
37	8.58
38	9.30
39	4.68
40	7.24
41	9.53
42	54.34
43	0.14
44	36.26
45	4.59
46	0.00
47	2.74
48	0.00
49	43.21
50	5.98
51	0.46
52	0.00
53	4.68
54	0.00
55	9.48
56	6.85
57	3.19
58	6.04
59	5.71
60	0.00
61	10.81
62	0.00
63	0.00
64	1.35
65	4.43
66	6.42
67	2.75
68	10.24
69	4.80
70	0.00
71	1.82
72	3.73
73	4.43
74	7.96
75	2.07
76	0.00
77	0.00
78	6.70
79	0.00
80	0.00
81	10.90
82	28.13
83	4.35
84	2.20
85	5.64
86	12.86
87	15.51
88	0.00
89	7.01
90	14.53
91	2.44
92	0.00
93	6.11
94	0.00
95	11.64
96	5.23
97	7.57
98	0.00
99	0.00
100	0.00
101	2.09
102	0.43
103	10.92
104	23.98
105	3.83
106	1.89
107	6.14
108	7.80
109	0.00
110	2.84
111	7.40
112	11.15
113	28.30
114	5.39
115	4.52
116	1.03
117	2.11
118	6.25
119	15.19
120	3.53
121	0.00
122	11.61
123	7.04
124	5.68
125	7.24
126	6.98
127	0.76
128	7.79
129	1.59
130	2.34
131	10.03
132	7.95
133	4.51
134	4.79
135	2.80
136	0.00
137	13.38
138	0.00
139	17.32
140	6.65
141	2.07
142	0.75
143	2.33
144	0.28
145	0.01
146	0.70
147	9.98
148	10.01
149	7.14
150	0.00
151	0.00
152	8.84
153	8.61
154	6.39
155	5.55
156	1.90
157	3.91
158	0.00
159	5.84
160	0.83
161	7.11
162	3.52
163	3.91
164	6.67
165	5.96
166	4.18
167	0.00
168	0.08
169	0.92
170	1.19
171	12.69
172	48.34
173	4.50
174	5.32
175	3.26
176	0.00
177	0.00
178	46.73
179	15.63
180	0.00
181	19.03
182	1.95
183	3.08
184	2.68
185	7.78
186	9.73
187	0.00
188	1.67
189	0.67
190	8.69
191	5.75
192	0.00
193	2.70
194	12.00
195	1.36
196	3.68
197	4.85
198	0.00
199	10.94
200	0.00
201	0.00
202	2.89
203	13.36
204	14.92
205	5.28
206	0.00
207	0.00
208	0.00
209	0.00
210	6.68
211	8.24
212	0.51
213	2.18
214	0.00
215	0.26
216	14.00
217	0.00
218	8.20
219	2.48
220	0.84
221	0.00
222	1.80
223	14.39
224	0.00
225	3.22
226	0.00
227	5.03
228	10.80
229	8.34
230	4.78
231	3.89
232	2.01
233	20.04
234	0.00
235	15.28
236	0.00
237	6.99
238	13.51
239	0.00
240	0.00
241	3.09
242	0.00
243	6.41
244	7.10
245	10.38
246	58.20
247	6.85
248	0.00
249	5.56
250	3.57
251	0.00
252	4.62
253	8.72
254	8.75
255	9.91
256	3.48
257	7.49
258	14.18
259	0.00
260	4.58
261	0.00
262	8.98
263	7.82
264	12.65
265	3.70
266	16.53
267	2.63
268	2.45
269	0.00
270	8.92
271	5.32
272	0.00
273	13.45
274	7.66
275	10.26
276	1.72
277	0.00
278	3.59
279	10.76
280	4.85
281	0.78
282	0.44
283	0.10
284	4.70
285	6.40
286	5.66
287	3.99
288	0.00
289	0.00
290	4.98
291	2.88
292	0.00
293	0.00
294	0.00
295	8.72
296	1.16
297	4.97
298	2.79
299	38.85
300	12.28
