sim	reg_pct
1	5.33
2	5.56
3	4.67
4	3.78
5	5.78
6	6.44
7	6.00
8	6.22
9	4.44
10	6.22
11	6.22
12	2.89
13	6.22
14	7.56
15	5.56
16	4.44
17	6.22
18	6.22
19	4.00
20	7.11
21	7.11
22	7.33
23	5.33
24	3.33
25	4.00
26	2.00
27	2.22
28	5.11
29	5.11
30	3.33
31	6.67
32	3.56
33	6.00
34	6.89
35	5.78
36	5.78
37	4.00
38	7.33
39	4.22
40	4.00
41	4.00
42	6.44
43	4.44
44	6.22
45	3.78
46	4.44
47	5.33
48	5.33
49	4.44
50	7.11
51	3.56
52	6.67
53	6.67
54	4.89
55	3.33
56	3.56
57	5.78
58	6.44
59	3.78
60	6.89
61	6.00
62	3.11
63	7.11
64	6.44
65	6.44
66	5.56
67	7.11
68	3.11
69	5.11
70	4.89
71	4.89
72	5.78
73	5.78
74	6.22
75	7.11
76	6.67
77	4.89
78	5.11
79	4.22
80	8.22
81	6.44
82	4.67
83	5.56
84	2.00
85	4.44
86	4.89
87	4.67
88	5.78
89	8.44
90	5.56
91	3.11
92	6.67
93	6.44
94	6.22
95	3.11
96	6.00
97	5.78
98	6.22
99	6.44
100	5.11
101	4.00
102	2.67
103	5.11
104	5.56
105	8.22
106	6.00
107	5.78
108	6.89
109	4.44
110	4.00
111	2.67
112	5.56
113	6.00
114	4.67
115	5.78
116	6.00
117	8.22
118	2.89
119	5.11
120	6.67
121	4.67
122	5.78
123	6.22
124	4.89
125	5.56
126	5.33
127	4.22
128	2.44
129	5.78
130	4.67
131	3.33
132	8.00
133	5.56
134	5.33
135	3.78
136	7.33
137	8.00
138	3.56
139	5.11
140	3.11
141	3.78
142	7.33
143	6.00
144	6.44
145	6.22
146	3.78
147	3.11
148	6.89
149	4.67
150	6.44
151	3.11
152	7.56
153	2.22
154	5.56
155	3.11
156	4.22
157	3.78
158	7.11
159	5.11
160	6.89
161	7.11
162	6.67
163	2.22
164	3.78
165	7.56
166	5.56
167	1.33
168	4.44
169	4.44
170	5.11
171	4.44
172	5.56
173	5.78
174	2.22
175	4.44
176	6.44
177	4.44
178	7.33
179	5.56
180	6.89
181	4.00
182	5.33
183	4.44
184	5.78
185	4.00
186	7.33
187	4.22
188	5.78
189	6.67
190	2.00
191	4.00
192	5.33
193	4.22
194	4.22
195	5.56
196	8.00
197	7.33
198	6.00
199	6.00
200	6.89
201	5.33
202	6.44
203	8.44
204	6.00
205	5.56
206	4.89
207	4.44
208	4.00
209	3.33
210	3.33
211	6.00
212	5.56
213	6.89
214	5.56
215	5.78
216	4.00
217	1.56
218	4.67
219	5.56
220	4.67
221	4.22
222	4.22
223	5.56
224	4.89
225	5.78
226	7.78
227	4.89
228	8.00
229	3.56
230	4.22
231	5.33
232	2.89
233	6.67
234	5.56
235	7.56
236	7.11
237	3.56
238	4.89
239	6.44
240	4.22
241	6.44
242	6.89
243	5.78
244	4.00
245	2.22
246	5.56
247	3.56
248	3.56
249	6.44
250	4.89
251	5.33
252	6.89
253	5.56
254	4.89
255	3.11
256	4.89
257	4.89
258	7.33
259	5.78
260	4.44
261	6.00
262	6.89
263	4.00
264	4.00
265	4.22
266	3.78
267	6.00
268	5.78
269	6.22
270	2.44
271	6.22
272	8.00
273	8.00
274	5.78
275	3.78
276	8.00
277	5.33
278	3.56
279	3.11
280	2.67
281	4.89
282	6.00
283	6.22
284	3.78
285	6.22
286	4.00
287	6.22
288	5.11
289	6.67
290	2.22
291	8.67
292	6.44
293	7.78
294	4.22
295	4.89
296	2.00
297	4.89
298	3.33
299	8.89
300	6.22
301	4.44
302	6.22
303	6.44
304	4.67
305	4.89
306	4.89
307	5.56
308	3.33
309	4.22
310	3.56
311	3.33
312	4.44
313	4.44
314	4.44
315	6.89
316	6.44
