sim	reg_pct
1	0.00
2	15.75
3	1.79
4	1.36
5	14.43
6	4.70
7	9.74
8	2.07
9	12.99
10	11.23
11	7.78
12	10.84
13	10.29
14	5.39
15	12.69
16	0.92
17	0.00
18	14.47
19	10.22
20	0.74
21	11.13
22	5.25
23	7.70
24	4.30
25	4.73
26	6.64
27	13.79
28	16.22
29	11.17
30	8.47
31	10.45
32	12.08
33	8.15
34	5.75
35	6.55
36	2.29
37	9.98
38	11.90
39	8.78
40	4.04
41	16.43
42	12.74
43	6.04
44	3.16
45	10.09
46	0.00
47	6.74
48	4.18
49	1.11
50	9.98
51	7.16
52	9.93
53	8.58
54	0.00
55	12.18
56	8.15
57	5.49
58	6.94
59	8.81
60	0.61
61	8.61
62	3.53
63	0.00
64	3.55
65	6.53
66	8.62
67	5.85
68	11.24
69	7.20
70	2.30
71	1.12
72	9.43
73	11.93
74	9.96
75	8.37
76	0.00
77	2.15
78	3.20
79	11.87
80	0.65
81	10.80
82	12.63
83	1.45
84	9.40
85	5.54
86	19.26
87	17.01
88	2.24
89	8.81
90	12.73
91	8.64
92	2.61
93	10.41
94	7.58
95	16.74
96	7.13
97	13.87
98	0.00
99	6.32
100	0.00
101	4.99
102	3.33
103	16.42
104	6.38
105	10.23
106	3.59
107	13.14
108	10.90
109	3.23
110	4.24
111	9.50
112	14.45
113	11.20
114	9.59
115	8.12
116	2.83
117	3.91
118	12.85
119	12.19
120	8.13
121	0.00
122	10.41
123	5.54
124	13.28
125	1.24
126	9.48
127	6.26
128	12.79
129	5.39
130	4.84
131	12.63
132	8.05
133	6.91
134	7.29
135	5.00
136	2.42
137	13.38
138	10.98
139	20.72
140	1.85
141	3.27
142	5.85
143	7.33
144	6.78
145	4.81
146	2.90
147	11.28
148	10.81
149	10.64
150	2.12
151	3.60
152	12.44
153	12.81
154	9.09
155	2.25
156	6.90
157	6.21
158	0.94
159	9.64
160	5.03
161	7.11
162	10.52
163	11.31
164	8.87
165	3.06
166	6.98
167	9.40
168	11.78
169	4.72
170	6.99
171	16.59
172	7.34
173	6.10
174	9.22
175	5.66
176	4.52
177	4.00
178	3.53
179	14.63
180	2.14
181	7.93
182	6.05
183	4.38
184	5.28
185	9.58
186	16.13
187	1.42
188	11.37
189	0.00
190	12.09
191	8.35
192	0.00
193	3.80
194	18.20
195	0.00
196	7.88
197	8.25
198	0.00
199	7.24
200	0.31
201	1.10
202	7.09
203	14.96
204	7.02
205	6.18
206	0.00
207	0.00
208	5.96
209	1.74
210	9.98
211	13.34
212	2.01
213	3.78
214	3.91
215	3.26
216	14.40
217	2.30
218	13.80
219	5.18
220	3.24
221	4.34
222	7.20
223	15.49
224	2.37
225	8.32
226	0.00
227	14.93
228	12.30
229	12.24
230	8.28
231	11.49
232	7.61
233	19.64
234	3.11
235	22.08
236	3.59
237	11.29
238	6.11
239	0.71
240	2.33
241	6.19
242	5.89
243	9.21
244	12.00
245	17.38
246	18.60
247	4.15
248	2.88
249	10.06
250	7.57
251	0.00
252	7.22
253	10.62
254	12.15
255	10.91
256	10.78
257	8.29
258	15.08
259	0.00
260	11.18
261	1.39
262	12.18
263	11.82
264	11.65
265	14.80
266	16.13
267	0.43
268	8.35
269	0.00
270	10.12
271	5.72
272	2.34
273	13.15
274	8.26
275	9.46
276	3.92
277	2.53
278	8.39
279	13.36
280	10.25
281	2.88
282	5.84
283	2.80
284	8.70
285	13.10
286	12.86
287	9.59
288	0.00
289	5.15
290	13.38
291	8.68
292	3.19
293	0.00
294	4.38
295	8.92
296	3.16
297	8.17
298	5.19
299	8.05
300	14.78
