sim	reg_pct
1	6.00
2	4.00
3	3.56
4	4.22
5	3.11
6	8.22
7	6.00
8	7.33
9	2.89
10	7.11
11	7.33
12	1.33
13	6.89
14	7.33
15	4.00
16	3.11
17	6.44
18	5.11
19	4.00
20	6.22
21	8.22
22	8.00
23	4.44
24	2.22
25	2.22
26	2.44
27	2.22
28	2.89
29	4.89
30	3.11
31	7.11
32	3.33
33	7.33
34	8.00
35	4.22
36	6.44
37	4.44
38	9.56
39	3.78
40	2.22
41	3.11
42	7.33
43	2.89
44	6.44
45	3.56
46	4.44
47	2.67
48	5.33
49	3.78
50	7.56
51	2.00
52	7.78
53	7.33
54	3.78
55	1.33
56	3.78
57	4.67
58	6.89
59	4.44
60	6.67
61	6.89
62	2.22
63	8.00
64	6.22
65	4.00
66	4.89
67	7.33
68	1.56
69	3.56
70	6.00
71	4.22
72	3.78
73	6.22
74	4.22
75	6.89
76	6.67
77	2.44
78	6.22
79	2.89
80	10.44
81	5.11
82	3.56
83	4.22
84	2.67
85	3.33
86	4.00
87	4.00
88	3.33
89	8.67
90	4.67
91	1.78
92	7.33
93	6.22
94	6.00
95	1.78
96	6.00
97	5.78
98	3.78
99	6.44
100	3.78
101	2.00
102	3.56
103	4.89
104	3.56
105	8.67
106	4.00
107	4.89
108	7.56
109	2.44
110	2.89
111	1.78
112	6.89
113	5.33
114	3.56
115	7.78
116	4.89
117	8.67
118	2.44
119	4.67
120	7.78
121	3.56
122	6.67
123	6.67
124	3.78
125	4.44
126	6.22
127	5.11
128	2.00
129	4.67
130	3.33
131	2.00
132	8.22
133	3.33
134	6.00
135	3.11
136	8.22
137	7.33
138	2.00
139	4.67
140	3.11
141	3.78
142	8.00
143	4.44
144	6.44
145	6.89
146	3.11
147	1.56
148	5.78
149	2.89
150	7.78
151	1.78
152	7.78
153	1.33
154	3.56
155	1.56
156	1.56
157	2.44
158	7.56
159	5.56
160	7.33
161	8.22
162	8.44
163	2.00
164	2.67
165	7.11
166	4.22
167	1.78
168	2.89
169	2.67
170	4.44
171	6.22
172	4.44
173	6.44
174	2.22
175	2.67
176	5.11
177	2.22
178	7.33
179	5.33
